Giá,Diện tích,Đường,Phường,Quận,Thành phố,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Số lầu,Số phòng ngủ,Phòng ăn,Nhà bếp,Sân thượng,Chỗ để xe hơi,Chính chủ
5.7,100.0,Đường Ngô Thì Hương,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Đông Bắc,7.5,2,4,0,0,0,0,0
6.6,70.0,Đường Phạm Vấn,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,14.0,Đông,7.0,3,3,1,1,1,1,0
28.0,506.0,Đường Ngũ Hành Sơn,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,13.0,34.0,Bắc,5.0,2,7,1,1,1,1,0
2.35,38.0,Đường Ông Ích Khiêm,Phường Nam Dương,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,,---,---,0,0,0,0,0
17.0,90.0,Đường Lê Thước,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,10.0,6,10,1,1,1,1,0
9.8,90.0,Đường Lê Thước,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,55.0,1,12,1,1,1,1,0
23.0,204.0,Đường Trần Văn Dư,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,8.0,18.0,_,75.0,2,5,1,1,1,1,0
29.0,200.0,Đường Mai Thúc Lân,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,10.0,18.0,_,15.0,8,30,1,1,1,1,0
26.0,110.0,Đường Mỹ Đa Đông 12,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,10.0,18.0,_,75.0,5,10,1,1,1,1,0
15.2,90.0,Đường An Thượng 26,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,4.5,18.0,_,55.0,6,12,1,1,1,1,0
16.0,108.0,Đường Phan Tôn,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.0,1,14,1,1,1,1,0
27.0,200.0,Đường Hải Phòng,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,8.0,20.0,_,15.0,3,3,1,1,1,1,0
,80.0,Đường Tô Hiệu,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,8.0,10.0,Đông Nam,75.0,1,3,1,1,1,1,0
5.6,50.0,Đường Nguyễn Công Trứ,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,6.0,18.0,_,6.0,3,3,0,0,0,0,0
6.7,83.0,Đường Lưu Quang Thuận,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,6.0,18.0,_,5.0,1,3,1,1,1,1,0
8.3,331.0,Đường Đào Sư Tích,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,10.0,30.0,Tây Nam,7.5,---,---,0,0,0,0,0
16.0,108.0,Đường Phan Tôn,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.0,1,14,1,1,1,1,0
27.0,200.0,Đường Hải Phòng,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,8.0,20.0,_,15.0,3,3,1,1,1,1,0
,80.0,Đường Tô Hiệu,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,8.0,10.0,Đông Nam,75.0,1,3,1,1,1,1,0
